Job Post,Company,Skills,Ratings,Reviews,Experience,Salary,Location,Job_Post_History,URL
Design Engineer,Jyoti Technical Services Pvt Ltd,"Experience The candidate shall a fresher or 1 to 3 year relevant experience in designing sheet metal dies. conversant with design calculations,CATIA Modeling and UG Modeling building tool in 3D  .",3.5,(8 Reviews),0-3 Yrs,"2,00,000 - 5,00,000 PA.",Pune(Akurdi),3 Days Ago,https://www.naukri.com/job-listings-design-engineer-jyoti-technical-services-pvt-ltd-pune-0-to-3-years-270822003470
Domestic Voice Process -  Work FROM Office,Teleperformance (TP),"BPO,English,Customer Service,Domestic process,voice",3.6,(13783 Reviews),0-5 Yrs,"1,00,000 - 1,50,000 PA.",Indore,3 Days Ago,https://www.naukri.com/job-listings-domestic-voice-process-work-from-office-teleperformance-global-services-pvt-ltd-indore-0-to-5-years-270822003200
"Customer Care Executive - Ashram Road, Ahmedabad",MAS Financial Services,"Customer Care Executive,Customer Care Service,BPO,Outbound,Customer Service,Telecalling,Inbound,Call Center",3.6,(347 Reviews),1-6 Yrs,Not disclosed,Ahmedabad,3 Days Ago,https://www.naukri.com/job-listings-customer-care-executive-ashram-road-ahmedabad-mas-financial-services-ltd-ahmedabad-1-to-6-years-270822003046
Field Executive (DRA),Konexions Back Office Services,DRA,3.1,(90 Reviews),1-6 Yrs,"1,25,000 - 1,75,000 PA.","Mohali, Chandigarh, Panchkula",3 Days Ago,https://www.naukri.com/job-listings-field-executive-dra-konexions-back-office-services-pvt-ltd-mohali-chandigarh-panchkula-1-to-6-years-270822001965
Atos - Urgent Requirement !!!!! Dot. Net and Angular,Atos,"Angular,Dotnet Development",3.9,(7658 Reviews),2-4 Yrs,Not disclosed,Pune,3 Days Ago,https://www.naukri.com/job-listings-atos-urgent-requirement-dot-net-and-angular-atos-global-it-solutions-and-services-pvt-ltd-pune-2-to-4-years-270822001911
Senior Client Partner,Access Healthcare,"ar calling,Dental Medical Equipment,Eligibility Verification,durable medical equipment,denial management",4.1,(1438 Reviews),1-5 Yrs,"1,00,000 - 5,50,000 PA.","Chennai, TAMILNADU",3 Days Ago,https://www.naukri.com/job-listings-senior-client-partner-access-healthcare-services-pvt-ltd-chennai-tamilnadu-1-to-5-years-270822001559
NodeJS Fullstack,Capgemini,"jQuery,Linux,PHP,HTML,SQL,Micro services,NodeJS,Angular",3.9,(22733 Reviews),5-10 Yrs,Not disclosed,Bangalore/Bengaluru,1 Day Ago,https://www.naukri.com/job-listings-nodejs-fullstack-capgemini-technology-services-india-limited-bangalore-bengaluru-5-to-10-years-290822902630
DPDK C++,Capgemini,"Telecom,openwrt,Hardware,Yocto,DPDK",3.9,(22733 Reviews),4-9 Yrs,Not disclosed,Bangalore/Bengaluru,1 Day Ago,https://www.naukri.com/job-listings-dpdk-c-capgemini-technology-services-india-limited-bangalore-bengaluru-4-to-9-years-290822902625
WLAN DEV,Capgemini,"Telecom,Software design,Architecture,Coding,WiFi,Routing,Unit testing,debugging",3.9,(22733 Reviews),5-10 Yrs,Not disclosed,Bangalore/Bengaluru,1 Day Ago,https://www.naukri.com/job-listings-wlan-dev-capgemini-technology-services-india-limited-bangalore-bengaluru-5-to-10-years-290822902624
Software Engineer Prog,Capgemini,"Hibernate,jQuery,JDBC,Apache,SQL,Cassandra,Spring boot,Agile",3.9,(22733 Reviews),6-10 Yrs,Not disclosed,Bangalore/Bengaluru,1 Day Ago,https://www.naukri.com/job-listings-software-engineer-prog-capgemini-technology-services-india-limited-bangalore-bengaluru-6-to-10-years-290822902623
RTL Design,Capgemini,"VHDL,Verilog,Perl,SPI,Python,Tcl,I2C,USB",3.9,(22733 Reviews),4-6 Yrs,Not disclosed,Pune,1 Day Ago,https://www.naukri.com/job-listings-rtl-design-capgemini-technology-services-india-limited-pune-4-to-6-years-290822902621
Testing,Capgemini,"Automation testing,Performance testing,Infrastructure,SAP testing,Selenium,JMeter,Java,Testing",3.9,(22733 Reviews),3-8 Yrs,Not disclosed,Mumbai,1 Day Ago,https://www.naukri.com/job-listings-testing-capgemini-technology-services-india-limited-mumbai-3-to-8-years-290822902620
Analog Circuit Design,Capgemini,"Front end,Data recovery,PCIE,analog circuit design,Monitoring,High speed interface design,DLL,PLL",3.9,(22733 Reviews),4-6 Yrs,Not disclosed,Hyderabad/Secunderabad,1 Day Ago,https://www.naukri.com/job-listings-analog-circuit-design-capgemini-technology-services-india-limited-hyderabad-secunderabad-4-to-6-years-290822902615
SOC Manager,Capgemini,"ISO,Analytical,Project management,infrastructure services,Analytics,SOC2,IDS,SIEM SOAR EPS",3.9,(22733 Reviews),12-15 Yrs,Not disclosed,Bangalore/Bengaluru,1 Day Ago,https://www.naukri.com/job-listings-soc-manager-capgemini-technology-services-india-limited-bangalore-bengaluru-12-to-15-years-290822902606
AEM Developer,Capgemini,"Hibernate,JSP,Javascript,PHP,HTML,Java EE,JQuery,Pearl",3.9,(22733 Reviews),4-6 Yrs,Not disclosed,Bangalore/Bengaluru,1 Day Ago,https://www.naukri.com/job-listings-aem-developer-capgemini-technology-services-india-limited-bangalore-bengaluru-4-to-6-years-290822902605
Vulnerability Management,Capgemini,"Production support,Appliances,infrastructure services,Vulnerability assessment,Technical documentation,Qualys,Tenable Qualys,Vulnerability Management",3.9,(22733 Reviews),6-9 Yrs,Not disclosed,Bangalore/Bengaluru,1 Day Ago,https://www.naukri.com/job-listings-vulnerability-management-capgemini-technology-services-india-limited-bangalore-bengaluru-6-to-9-years-290822902602
SOC Manager,Capgemini,"cyber security,SOC,SIEM,infrastructure services,Monitoring,written,SIEM EPS EDR ATP,verbal communication",3.9,(22733 Reviews),9-12 Yrs,Not disclosed,Mumbai,1 Day Ago,https://www.naukri.com/job-listings-soc-manager-capgemini-technology-services-india-limited-mumbai-9-to-12-years-290822902600
AEM Technical Lead,Capgemini,"Hibernate,JSP,Javascript,PHP,HTML,Java EE,JQuery,Pearl",3.9,(22733 Reviews),9-12 Yrs,Not disclosed,Chennai,1 Day Ago,https://www.naukri.com/job-listings-aem-technical-lead-capgemini-technology-services-india-limited-chennai-9-to-12-years-290822902599
